"Timestamp","Please state your preference for midterm 2 date"
"2026/02/10 5:46:22 PM MST","Tuesday February 26"
"2026/02/10 5:56:16 PM MST","Tuesday February 24"
"2026/02/10 6:54:27 PM MST","Tuesday February 24"
"2026/02/10 7:32:33 PM MST","Thursday February 26"
"2026/02/10 9:16:00 PM MST","Thursday February 26"
"2026/02/11 11:59:34 AM MST","No change, Tuesday February 17"
"2026/02/11 11:59:57 AM MST","No change, Tuesday February 17"
"2026/02/11 12:00:10 PM MST","Thursday February 26"
"2026/02/11 12:00:13 PM MST","Tuesday February 24"
"2026/02/11 12:01:15 PM MST","Thursday February 26"
"2026/02/11 12:02:56 PM MST","Tuesday February 24"
"2026/02/11 12:09:13 PM MST","Thursday February 26"
"2026/02/11 12:09:32 PM MST","Tuesday February 24"
"2026/02/11 12:09:38 PM MST","Tuesday February 24"
"2026/02/11 12:10:16 PM MST","No change, Tuesday February 17"
"2026/02/11 12:17:45 PM MST","Thursday February 26"
"2026/02/11 12:23:59 PM MST","Thursday February 26"
"2026/02/11 12:36:42 PM MST","Thursday February 26"
"2026/02/11 12:40:40 PM MST","Tuesday February 24"
"2026/02/11 12:48:22 PM MST","Thursday February 26"
"2026/02/11 12:57:09 PM MST","Thursday February 26"
"2026/02/11 1:11:42 PM MST","No change, Tuesday February 17"
"2026/02/11 1:11:46 PM MST","No change, Tuesday February 17"
"2026/02/11 3:33:04 PM MST","Tuesday February 24"
"2026/02/11 4:38:48 PM MST","Thursday February 26"
"2026/02/11 6:11:27 PM MST","Tuesday February 24"
"2026/02/11 7:14:33 PM MST","Tuesday February 24"
"2026/02/11 7:39:06 PM MST","Tuesday February 24"
"2026/02/11 7:57:23 PM MST","Thursday February 26"
"2026/02/12 8:09:37 AM MST","Thursday February 26"
